no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
66,,,8.7,14.17,6.1,9.83,17,19.21,0.07,0.07,0.94,1.15,0.79,0.99,1.23,1.28,-1.15,-1.14
,=C13,=C2,,,,,,,,,,,,,,,,
,CCOC(=O)C1=C(COCCN)NC(=C(C1C2=CC=,CCOC(=O)C1=C(COCC[NH3+])NC(=C([C@@H]1C2,,,,,,,,,,,,,,,,
67,,,17,11.67,7,7.25,34,14.41,0.005,0.02,1.23,1.07,0.85,0.86,1.53,1.16,-2.30,-1.63
,CC=C2Cl)C(=O)OC)C,=C(Cl)C=CC=C2)C(=O)OC)C,,,,,,,,,,,,,,,,
,CCN(CC)CC1=CC(=CC=C1O)NC2=CC=NC3=,CC[NH+](CC)CC1=C(O)C=CC(=C1)NC2=C3C=CC(=,,,,,,,,,,,,,,,,
68,,,17.4,13.82,217,62.20,2.1,5.25,,,1.24,1.14,2.34,1.79,0.32,0.72,,
,C2C=CC(=C3)Cl,CC3=[NH+]C=C2)Cl,,,,,,,,,,,,,,,,
,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C2,C[NH+](C)CCN1C(=O)C2=C3C(=CC=C2)C=C(N)C=,,,,,,,,,,,,,,,,
69,,,7.33,5.82,19.32,15.93,4.78,6.04,,,0.87,0.76,1.29,1.20,0.68,0.78,,
,3)C1=O)N,C3C1=O,,,,,,,,,,,,,,,,
,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N),CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])C,,,,,,,,,,,,,,,,
70,,,0.25,0.27,3.3,3.05,1.1,1.31,0.85,0.69,0.60,-0.58,0.52,0.48,0.04,0.12,-0.07,-0.16
,C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,3=CC=C(O)C=C3)C(=O)N2[C@H]1C([O-])=O,,,,,,,,,,,,,,,,
,CCNC(=O)[C@H]1C[C@H]([C@H](O)[C@@,CCNC(=O)[C@H]1C[C@@H]([C@H](O)[C@@H]1O,,,,,,,,,,,,,,,,
71,H]1O)[N]2C=CC3=C(N[C@H](CC)CC4=C(Cl),)[N]2C=CC3=C2N=CN=C3N[C@H](CC)CC4=C(Cl)C,0.84,1.06,12,7.98,1.33,2.38,0.03,0.03,0.08,0.02,1.08,0.90,0.12,0.38,-1.52,-1.48
,C=CS4)N=CN=C23,=CS4,,,,,,,,,,,,,,,,
72,C[C@H](N)CC1=CC=CC=C1,C[C@H]([NH3+])CC1=CC=CC=C1,6.1,4.85,9.7,7.72,7.3,5.95,0.8,0.71,0.79,0.69,0.99,0.89,0.86,0.77,-0.10,-0.15
,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N),CC1(C)S[C@@H]2[C@H](NC(=O)[C@H]([NH3+])C,,,,,,,,,,,,,,,,
73,,,0.22,0.27,2.8,3.09,1.4,1.15,0.85,0.69,0.66,-0.57,0.45,0.49,0.15,0.06,-0.07,-0.16
,C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,3=CC=CC=C3)C(=O)N2[C@H]1C([O-])=O,,,,,,,,,,,,,,,,
74,NC1=CC(=CNC1=O)C2=CC=NC=C2,NC1=CC(=CNC1=O)C2=CC=NC=C2,1.3,1.03,8.9,7.37,2,2.49,0.89,0.68,0.11,0.01,0.95,0.87,0.30,0.40,-0.05,-0.17
,COC1=CC(=CC=C1NC2=C3C=CC=CC3=NC4,COC1=C(NC2=C3C=CC=CC3=[NH+]C4=CC=CC=C,,,,,,,,,,,,,,,,
75,,,1.6,1.27,4.3,3.40,4.7,5.66,0.029,0.02,0.20,0.10,0.63,0.53,0.67,0.75,-1.54,-1.68
,=CC=CC=C24)N[S](C)(=O)=O,24)C=CC(=C1)N[S](C)(=O)=O,,,,,,,,,,,,,,,,
,CNC(=O)C1=CC=CC2=C(NC3=CC=C(N[S](C,CNC(=O)C1=C2[NH+]=C3C(=CC=CC3=C(NC4=C(O,,,,,,,,,,,,,,,,
76,,,0.3,0.38,2.6,2.90,2.4,3.96,,0.0011 0.0029,0.52,-0.42,0.41,0.46,0.38,0.60,-2.96,-2.53
,)(=O)=O)C=C3OC)C4=CC=CC(=C4N=C12)C,C)C=C(N[S](C)(=O)=O)C=C4)C2=CC=C1)C,,,,,,,,,,,,,,,,
,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](,,,,,,,,,,,,,,,,,
,,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@,,,,,,,,,,,,,,,,
,O[C@H](C#N)C3=CC=CC=C3)[C@H](O)[C@,,,,,,,,,,,,,,,,,
77,,H](C#N)C3=CC=CC=C3)[C@H](O)[C@@H](O)[C@,0.21,0.26,1.88,2.04,1.23,1.73,,,0.68,-0.58,0.27,0.31,0.09,0.24,,
,@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C,,,,,,,,,,,,,,,,,
,,@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,,,,,,,,,,,
,@@H]1O,,,,,,,,,,,,,,,,,
,CCC1=C[C@@H]2CN(CCC3=C([NH]C4=CC=,CCC1=C[C@@H]2C[NH+](CCC3=C([NH]C4=C3C=,,,,,,,,,,,,,,,,
78,,,12,9.52,12,9.20,18,21.50,,,1.08,0.98,1.08,0.96,1.26,1.33,,
,CC=C34)[C@@](C2)(C(=O)OC)C5=CC6=C(C,CC=C4)[C@@](C2)(C(=O)OC)C5=C(OC)C=C6N(C)[,,,,,,,,,,,,,,,,
,=C5OC)N(C)[C@H]7[C@](O)([C@H](OC(C)=,C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)C=CC[,,,,,,,,,,,,,,,,
,O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(,NH+]9CC[C@]7([C@H]89)C6=C5)C(=O)OC)C1,,,,,,,,,,,,,,,,
,=O)OC)C1,,,,,,,,,,,,,,,,,
,C1CN=C(CN(CC2=CC=CC=C2)C3=CC=CC=,C1C[NH+]=C(CN(CC2=CC=CC=C2)C3=CC=CC=C3),,,,,,,,,,,,,,,,
79,,,3.9,3.36,19.67,15.95,2.29,3.60,,,0.59,0.53,1.29,1.20,0.36,0.56,,
,C3)N1,N1,,,,,,,,,,,,,,,,
80,CN1N(C(=O)C=C1C)C2=CC=CC=C2,CN1N(C(=O)C=C1C)C2=CC=CC=C2,0.77,0.61,0.64,1.31,12,6.92,0.93,0.61,0.11,-0.21,-0.19,0.12,1.08,0.84,-0.03,-0.21
,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3,C[C@H]1COC2=C3N1C=C(C([O-,,,,,,,,,,,,,,,,
81,,,2.42,2.13,2.2,2.55,20.1,14.33,0.82,0.68,0.38,0.33,0.34,0.41,1.30,1.16,-0.09,-0.17
,=C(N)C(=C2N4CCN(C)CC4)F,])=O)C(=O)C3=C(N)C(=C2N4CC[NH+](C)CC4)F,,,,,,,,,,,,,,,,
,CC1(C)SC2[C@@H](NC(=O)[C@H](NC(=O),CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](NC(=O),,,,,,,,,,,,,,,,
82,C3=CN=C4C=CC=NC4=C3O)C5=CC=CC=C5,C3=C(O)C4=NC=CC=C4N=C3)C5=CC=CC=C5)C(=,0.16,0.20,1.9,1.86,1.2,2.30,0.1,0.10,0.80,-0.70,0.28,0.27,0.08,0.36,-1.00,-0.99
,)C(=O)N2[C@H]1C(O)=O,O)N2[C@H]1C([O-])=O,,,,,,,,,,,,,,,,
,COC1=CC=C(C=C1)[N]2N=C(C(N)=O)C3=C2,COC1=CC=C(C=C1)[N]2N=C(C(N)=O)C3=C2C(=O),,,,,,,,,,,,,,,,
83,,,0.3,0.38,0.8,1.36,12,9.98,0.13,0.08,0.52,-0.42,-0.10,0.13,1.08,1.00,-0.89,-1.10
,C(=O)N(CC3)C4=CC=C(C=C4)N5CCCCC5=O,N(CC3)C4=CC=C(C=C4)N5CCCCC5=O,,,,,,,,,,,,,,,,
,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=,C[NH+]1CCC2=C3[C@@H]1CC4=CC=C(O)C(=C4C,,,,,,,,,,,,,,,,
84,,,1.6,1.10,40,32.42,0.68,1.69,0.05,0.09,0.20,0.04,1.60,1.51,-0.17,0.23,-1.30,-1.04
,C(O)C=C4)O,3=CC=C2)O,,,,,,,,,,,,,,,,
,CCOC1=CC(=CC=C1OC)[C@@H](C[S](C)(=,,,,,,,,,,,,,,,,,
,,CCOC1=C(OC)C=CC(=C1)[C@@H](C[S](C)(=O)=O),,,,,,,,,,,,,,,,
85,O)=O)N2C(=O)C3=CC=CC(=C3C2=O)CC(C)=,,,,2.38,3.14,6.03,4.91,0.32,0.16,,,0.38,0.50,0.78,0.69,-0.49,-0.80
,,N2C(=O)C3=C(C2=O)C(=CC=C3)CC(C)=O,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,
,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N,C[C@@H](O[C@H]1OCC[NH+](CC2=N[N-,,,,,,,,,,,,,,,,
86,2)[C@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=C,]C(=O)N2)[C@H]1C3=CC=C(F)C=C3)C4=CC(=CC(=,0.94,0.75,1,1.69,13,13.41,0.05,0.04,0.03,-0.13,0.00,0.23,1.11,1.13,-1.30,-1.46
,4)C(F)(F)F)C(F)(F)F,C4)C(F)(F)F)C(F)(F)F,,,,,,,,,,,,,,,,
,COC1=CC(=C2C=C(CC3=C([NH]C4=CC=C(C,COC1=C(OC)C2=C(C=C(CC3=C([NH]C4=C3C=C(Cl,,,,,,,,,,,,,,,,
87,l)C=C34)C(=O)N(C)C)OC2=C1OC)CC5=CN=,)C=C4)C(=O)N(C)C)O2)C(=C1)CC5=C(N)N=C(N)N=,5.06,4.02,7.49,4.92,44.55,22.55,,,0.70,0.60,0.87,0.69,1.65,1.35,,
,C(N)N=C5N,C5,,,,,,,,,,,,,,,,
,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH,,,,,,,,,,,,,,,,
,C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N,3+])[C@@H](O[C@H]2O[C@H](C[NH3+])CC[C@H,,,,,,,,,,,,,,,,
88,,,0.21,0.26,1.28,1.21,2.46,3.29,,,0.68,-0.58,0.11,0.08,0.39,0.52,,
,)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C,]2[NH3+])[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[,,,,,,,,,,,,,,,,
,@@H](O)[C@H](N)[C@H]3O,C@@H](O)[C@H]([NH3+])[C@H]3O,,,,,,,,,,,,,,,,
,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C,C[C@@H]1CCN([C@H](C1)C([O-,,,,,,,,,,,,,,,,
89,@H](CCCNC(N)=N)N[S](=O)(=O)C2=CC=CC,])=O)C(=O)[C@H](CCCNC(N)=[NH2+])N[S](=O)(=O,0.17,0.21,5,3.67,0.4,0.97,0.46,0.39,0.77,-0.67,0.70,0.56,-0.40,-0.01,-0.34,-0.41
,3=C2NCC(C)C3,)C2=C3NC[C@H](C)CC3=CC=C2,,,,,,,,,,,,,,,,
,ClC1=CC=CC(=C1Cl)N2CCN(CCCCOC3=CC,ClC1=C(Cl)C(=CC=C1)N2CC[NH+](CCCCOC3=CC4,,,,,,,,,,,,,,,,
90,,,4.9,3.89,0.83,1.42,75,30.47,0.01,0.01,0.69,0.59,-0.08,0.15,1.88,1.48,-2.00,-1.87
,=C4CCC(=O)NC4=C3)CC2,=C(CCC(=O)N4)C=C3)CC2,,,,,,,,,,,,,,,,
,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O[C@,,,,,,,,,,,,,,,,
91,O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@,@H]3O[C@]4(C)CC[C@@H]1[C@]23OO4)OC(=O)C,15,4.46,1070,103.08,0.22,0.67,0.25,0.20,1.18,0.65,3.03,2.01,-0.66,-0.17,-0.60,-0.70
,]23OO4)OC(=O)CCC(O)=O,CC([O-])=O,,,,,,,,,,,,,,,,
,CCCN[C@H](C)C(=O)NC1=C(SC=C1C)C(=O,CCC[NH2+][C@H](C)C(=O)NC1=C(SC=C1C)C(=O),,,,,,,,,,,,,,,,
92,,,7.7,6.12,126.7,45.15,0.98,1.50,0.46,0.46,0.89,0.79,2.10,1.65,-0.01,0.18,-0.34,-0.33
,)OC,OC,,,,,,,,,,,,,,,,
93,COC1=CC(=C(C=CC)C=C1OC)OC,COC1=C(OC)C=C(\C=C\C)C(=C1)OC,1,1.26,8.8,7.82,3.7,3.43,,,0.00,0.10,0.94,0.89,0.57,0.54,,
94,OC[C@H](O)[C@H]1OC(=O)C(=C1O)O,OC[C@H](O)[C@H]1OC(=O)C(=C1[O-])O,0.35,0.28,1.05,1.66,11.4,5.87,0.26,0.39,0.46,-0.56,0.02,0.22,1.06,0.77,-0.59,-0.41
,CN1C[C@H]2[C@H](C1)C3=CC(=CC=C3OC,C[NH+]1C[C@H]2[C@H](C1)C3=C(OC4=C2C=CC=,,,,,,,,,,,,,,,,
95,,,23,4.47,12.4,9.87,,,0.05,0.09,1.36,0.65,1.09,0.99,,,-1.30,-1.07
,4=C2C=CC=C4)Cl,C4)C=CC(=C3)Cl,,,,,,,,,,,,,,,,
,CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=,CNC(=O)C[C@@H]([NH3+])C(=O)N[C@@H](C(=O),,,,,,,,,,,,,,,,
96,O)N[C@@H]1[C@H]2SC(C)(C)[C@@H](N2C,N[C@@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C([,0.27,0.34,2.82,2.61,1.45,1.53,,,0.57,-0.47,0.45,0.42,0.16,0.19,,
,1=O)C(O)=O)C3=CC=C(O)C=C3,O-])=O)C3=CC=C(O)C=C3,,,,,,,,,,,,,,,,
,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2,,,,,,,,,,,,,,,,,
,,CC(C)(O)[C@@H]1CC[C@@](C)(O1)[C@H]2[C@@,,,,,,,,,,,,,,,,
,[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](,,,,,,,,,,,,,,,,,
,,H](O)C[C@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C,,,,,,,,,,,,,,,,
,O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](,,,,,,,,,,,,,,,,,
97,,@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]6C,0.12,0.15,0.74,0.83,2.65,4.45,0.14,0.13,0.92,-0.82,-0.13,-0.08,0.42,0.65,-0.85,-0.89
,O)[C@H]5O)[C@H]6C(C)(C)[C@H](CC[C@,,,,,,,,,,,,,,,,,
,,(C)(C)[C@H](CC[C@@]67C[C@@]47CC[C@]23C),,,,,,,,,,,,,,,,
,@]67C[C@@]47CC[C@]23C)O[C@@H]8OC[,,,,,,,,,,,,,,,,,
,,O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O,,,,,,,,,,,,,,,,
,C@@H](O)[C@H](O)[C@H]8O,,,,,,,,,,,,,,,,,
,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O,CO[C@H]1[C@@H](O)[C@H]([NH3+])[C@@H](O[,,,,,,,,,,,,,,,,
98,[C@H]2O[C@@H](CC[C@H]2N)[C@H](C)N),C@@H]2O[C@@H](CC[C@H]2[NH3+])[C@H](C)[,0.23,0.35,1.37,1.44,2,3.14,,,0.64,-0.46,0.14,0.16,0.30,0.50,,
,[C@H](O)[C@H]1N(C)C(=O)CN,NH3+])[C@H](O)[C@H]1N(C)C(=O)C[NH3+],,,,,,,,,,,,,,,,
99,,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(= COC1=C2C=CC(=CC2=C(O[C@@H]3C[C@H](N(C3,2.77,2.20,11.78,8.75,20,11.72,0.012,0.02,0.44,0.34,1.07,0.94,1.30,1.07,-1.92,-1.72
,O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=,)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O),,,,,,,,,,,,,,,,
,O)N[C@@]3(C[C@H]3C=C)C(=O)N[S](=O)(=,N[C@@]4(C[C@@H]4C=C)C(=O)N=[S]([O-,,,,,,,,,,,,,,,,
,O)C4CC4)C5=CC(=CC=C15)Cl,])(=O)C5CC5)N=C1)Cl,,,,,,,,,,,,,,,,
,,CC(C)[NH2+]C[C@@H](O)COC1=CC=C(CC(N)=O),,,,,,,,,,,,,,,,
100,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,,0.95,1.20,2.5,3.73,6.1,4.85,0.94,0.85,0.02,0.08,0.40,0.57,0.79,0.69,-0.03,-0.07
,,C=C1,,,,,,,,,,,,,,,,
101,CCC1(CC2=C(C1)C=CC=C2)C3=CN=C[NH]3,CCC1(CC2=C(C1)C=CC=C2)C3=CN=C[NH]3,2.7,2.14,19.6,12.35,1.7,2.58,,,0.43,0.33,1.29,1.09,0.23,0.41,,
,CNCC[C@@H](OC1=CC=CC=C1C)C2=CC=,C[NH2+]CC[C@@H](OC1=C(C)C=CC=C1)C2=CC=,,,,,,,,,,,,,,,,
102,,,0.85,1.63,9.3,9.87,5.2,8.88,0.02,0.15,0.07,0.21,0.97,0.99,0.72,0.95,-1.70,-0.84
,CC=C2,CC=C2,,,,,,,,,,,,,,,,
,,[O-,,,,,,,,,,,,,,,,
,OC1=C([C@@H]2CC[C@H](CC2)C3=CC=C(,,,,,,,,,,,,,,,,,
103,,]C1=C(C2CCC(CC2)C3=CC=C(Cl)C=C3)C(=O)C4=C,0.6,0.76,0.15,0.23,63,28.74,0.001,0.0031,0.22,-0.12,-0.82,-0.64,1.80,1.46,-3.00,-2.51
,Cl)C=C3)C(=O)C4=CC=CC=C4C1=O,,,,,,,,,,,,,,,,,
,,(C=CC=C4)C1=O,,,,,,,,,,,,,,,,
,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C,C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@,,,,,,,,,,,,,,,,
104,,,3.3,2.62,7.6,10.38,4.1,2.91,0.61,0.57,0.52,0.42,0.88,1.02,0.61,0.46,-0.21,-0.24
,O)C3=CC=CC=C3,H](CO)C3=CC=CC=C3,,,,,,,,,,,,,,,,
,,COC1=C2N(C=C(C([O-,,,,,,,,,,,,,,,,
,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(=C1,,,,,,,,,,,,,,,,,
105,,])=O)C(=O)C2=CC(=C1N3CCC\C(C3)=C(\F)C[NH3+],1.13,1.42,0.78,1.30,19.64,12.44,0.34,0.27,0.05,0.15,-0.11,0.11,1.29,1.09,-0.47,-0.57
,N3CCCC(C3)=C(F)CN)F)C4CC4,,,,,,,,,,,,,,,,,
,,)F)C4CC4,,,,,,,,,,,,,,,,
,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2O[S]([O,,,,,,,,,,,,,,,,
106,,,0.24,0.30,2.76,2.79,1.7,1.98,0.93,0.83,0.62,-0.52,0.44,0.45,0.23,0.30,-0.03,-0.08
,O[S](O)(=O)=O,-])(=O)=O,,,,,,,,,,,,,,,,
,CN[S](=O)(=O)CC1=CC=C2[NH]C=C(CCCN3,CN[S](=O)(=O)CC1=CC2=C([NH]C=C2CCC[NH+]3,,,,,,,,,,,,,,,,
107,,,0.87,1.09,6.44,7.23,5.26,4.84,,,0.06,0.04,0.81,0.86,0.72,0.69,,
,CCN(CC3)C4=C(OC)C=NC=N4)C2=C1,CCN(CC3)C4=C(OC)C=NC=N4)C=C1,,,,,,,,,,,,,,,,
,COC1=CC=CC=C1OC2=C(OC)N=C(N=C2N[S,COC1=C(OC2=C(OC)N=C(N=C2N[S](=O)(=O)C3=N,,,,,,,,,,,,,,,,
108,,,0.27,0.34,0.52,0.82,7.2,5.51,,,0.57,-0.47,-0.28,-0.08,0.86,0.74,,
,](=O)(=O)C3=NC=C(C)C=C3)C4=CC=NC=C4,C=C(C)C=C3)C4=CC=NC=C4)C=CC=C1,,,,,,,,,,,,,,,,
,CNC(=O)C1=CC=CC=C1SC2=CC=C3C(=C2)[,CNC(=O)C1=C(SC2=CC3=C(C=C2)C(=N[NH]3)\C=C,,,,,,,,,,,,,,,,
109,,,,,5,3.08,4.3,5.60,0.004,0.01,,,0.70,0.49,0.63,0.75,-2.40,-2.21
,NH]N=C3C=CC4=CC=CC=N4,\C4=NC=CC=C4)C=CC=C1,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@,,,,,,,,,,,,,,,,
110,,,0.47,0.66,35,22.49,0.36,0.68,,,0.33,-0.18,1.54,1.35,-0.44,-0.17,,
,)[C@@H](O)[C@H]2O,H](O)[C@H]2O,,,,,,,,,,,,,,,,
,CCCC1C(=O)N2N(C1=O)C(=NC3=CC=C(C)C,CCC[C@H]1C(=O)N2N(C1=O)C(=NC3=C2C=C(C)C,,,,,,,,,,,,,,,,
111,,,0.12,0.15,0.14,0.63,17,12.42,0.004,0.01,0.92,-0.82,-0.85,-0.20,1.23,1.09,-2.40,-1.87
,=C23)N(C)C,=C3)N(C)C,,,,,,,,,,,,,,,,
,CC(C)C(N(CCCN)C(=O)C1=CC=C(C)C=C1)C,,,,,,,,,,,,,,,,,
,,CC(C)[C@H](N(CCC[NH3+])C(=O)C1=CC=C(C)C=,,,,,,,,,,,,,,,,
112,2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=,,6.74,5.36,5.83,4.47,16.3,13.34,,,0.83,0.73,0.77,0.65,1.21,1.13,,
,,C1)C2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4,,,,,,,,,,,,,,,,
,C4,,,,,,,,,,,,,,,,,
,CN1CCCC(CC1)N2N=C(CC3=CC=C(Cl)C=C3,C[NH+]1CCC[C@H](CC1)N2N=C(CC3=CC=C(Cl)C,,,,,,,,,,,,,,,,
113,,,15,11.91,9,7.21,22,16.15,0.17,0.10,1.18,1.08,0.95,0.86,1.34,1.21,-0.77,-0.99
,)C4=CC=CC=C4C2=O,=C3)C4=C(C=CC=C4)C2=O,,,,,,,,,,,,,,,,
,CN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(,C[NH+]1CC[NH+](CCCCN2C(=O)CN(\N=C\C3=CC=,,,,,,,,,,,,,,,,
114,,,13,10.32,2.4,3.21,79,32.63,0.06,0.07,1.11,1.01,0.38,0.51,1.90,1.51,-1.22,-1.18
,O3)C4=CC=C(Cl)C=C4)C2=O)CC1,C(O3)C4=CC=C(Cl)C=C4)C2=O)CC1,,,,,,,,,,,,,,,,
,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@,,,,,,,,,,,,,,,,,
,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C,,,,,,,,,,,,,,,,
,H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2,,,,,,,,,,,,,,,,,
,,@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C,,,,,,,,,,,,,,,,
,)[C@H](C)[C@@H](O[C@@H]3O[C@H](C),,,,,,,,,,,,,,,,,
115,,@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O,33,9.49,10,6.14,69,21.04,0.88,0.45,1.52,0.98,1.00,0.79,1.84,1.32,-0.06,-0.34
,C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C,,,,,,,,,,,,,,,,,
,,)[NH+](C)C)[C@](C)(O)C[C@@H](C)C[NH+](C)[C,,,,,,,,,,,,,,,,
,@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(,,,,,,,,,,,,,,,,,
,,@H](C)[C@@H](O)[C@]1(C)O,,,,,,,,,,,,,,,,
,C)O,,,,,,,,,,,,,,,,,
,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N,,,,,,,,,,,,,,,,
116,(=O)N3CCNC3=O)C4=CC=CC=C4)C(=O)N2[,3CCNC3=O)C4=CC=CC=C4)C(=O)N2[C@H]1C([O-,0.26,0.19,2.5,2.29,1.2,1.47,0.65,0.44,0.59,-0.73,0.40,0.36,0.08,0.17,-0.19,-0.35
,C@H]1C(O)=O,])=O,,,,,,,,,,,,,,,,
,C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(O),C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C([O-,,,,,,,,,,,,,,,,
117,,,0.18,0.38,1.5,1.57,1.5,2.40,0.4,0.39,0.74,-0.41,0.18,0.20,0.18,0.38,-0.40,-0.41
,=O)C2=CSC(=N2)N)C(=O)N1[S](O)(=O)=O,])=O)C2=CSC(=N2)N)C(=O)N1[S]([O-])(=O)=O,,,,,,,,,,,,,,,,
118,CC1=CC=C(C=C1)C(CN)CC(O)=O,CC1=CC=C(C=C1)[C@@H](C[NH3+])CC([O-])=O,0.65,0.55,1.7,2.00,5.24,3.85,0.69,0.70,0.19,-0.26,0.23,0.30,0.72,0.59,-0.16,-0.16
,CN(C)C(=O)OC1=CC(=CC(=C1)C(O)CNC(C)(,CN(C)C(=O)OC1=CC(=CC(=C1)OC(=O)N(C)C)[C@,,,,,,,,,,,,,,,,
119,,,1.6,1.27,18,10.17,2.6,3.18,,,0.20,0.10,1.26,1.01,0.41,0.50,,
,C)C)OC(=O)N(C)C,H](O)C[NH2+]C(C)(C)C,,,,,,,,,,,,,,,,
,CC1=NC(=C(C)[N]1C2=CC=C(F)C=C2)C#CC,CC1=NC(=C(C)[N]1C2=CC=C(F)C=C2)C#CC3=CC(=,,,,,,,,,,,,,,,,
120,,,9.7,7.70,2.8,2.00,78.9,30.42,0.01,0.02,0.99,0.89,0.45,0.30,1.90,1.48,-2.00,-1.81
,3=CC=NC(=C3)Cl,NC=C3)Cl,,,,,,,,,,,,,,,,
,CCN(CC)CCNC(=O)C1=C(O[C@H](C)C(C)=,CC[NH+](CC)CCNC(=O)C1=C(O[C@H](C)C(C)=O),,,,,,,,,,,,,,,,
121,,,1.5,1.89,9.32,6.22,2.7,3.49,0.46,0.37,0.18,0.28,0.97,0.79,0.43,0.54,-0.34,-0.44
,O)C=C(N)C(=C1)Cl,C=C(N)C(=C1)Cl,,,,,,,,,,,,,,,,
,NC(=N)NCCC[C@@H]1NC(=O)CCSSC[C@H,NC(=[NH2+])NCCC[C@@H]1NC(=O)CCSSC[C@H],,,,,,,,,,,,,,,,
122,,,0.42,0.33,2.88,2.24,2.12,2.78,,,0.38,-0.48,0.46,0.35,0.33,0.44,,
,](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3,(NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=C[NH],,,,,,,,,,,,,,,,
,=C[NH]C4=C3C=CC=C4)NC(=O)[C@H](CC(,C4=C3C=CC=C4)NC(=O)[C@H](CC([O-,,,,,,,,,,,,,,,,
,O)=O)NC(=O)CNC1=O)C(N)=O,])=O)NC(=O)CNC1=O)C(N)=O,,,,,,,,,,,,,,,,
,CC1=C([N](CC2=CC=C(OCCN3CCCCCC3)C,CC1=C([N](CC2=CC=C(OCC[NH+]3CCCCCC3)C=C,,,,,,,,,,,,,,,,
